variable,model,budget,flops,value
tokens,Transformer++,0,8.001816321513983e+18,19906667814.9476
tokens,Transformer++,1,2.0000000000000004e+19,42187017868.24927
tokens,Transformer++,2,4.000908160756991e+19,49576854649.50161
tokens,Transformer++,3,7.963227997752118e+19,74589079977.21017
tokens,Mamba,0,8.001816321513983e+18,21122710283.36457
tokens,Mamba,1,2.0000000000000004e+19,31466908497.748394
tokens,Mamba,2,4.000908160756991e+19,54188306600.10326
tokens,Mamba,3,7.963227997752118e+19,60212306638.68713
tokens,Hyena,0,8.001816321513983e+18,19009467747.65628
tokens,Hyena,1,2.0000000000000004e+19,27311001442.131313
tokens,Hyena,2,4.000908160756991e+19,36857307431.135216
tokens,Hyena,3,7.963227997752118e+19,61414222156.609085
tokens,StripedHyena,0,8.001816321513983e+18,16883707169.550497
tokens,StripedHyena,1,2.0000000000000004e+19,26426002609.16714
tokens,StripedHyena,2,4.000908160756991e+19,42048277696.23162
tokens,StripedHyena,3,7.963227997752118e+19,56559241488.35059
params,Transformer++,0,7.99267679089804e+18,17043230.08716554
params,Transformer++,1,1.9950615972947284e+19,18996498.80946334
params,Transformer++,2,3.986470631277386e+19,39074550.88233053
params,Transformer++,3,8.005126554787057e+19,55862231.34076935
params,Mamba,0,7.99267679089804e+18,40599919.10823888
params,Mamba,1,1.9950615972947284e+19,56579877.57855231
params,Mamba,2,3.986470631277386e+19,64695058.505835675
params,Mamba,3,8.005126554787057e+19,104414491.07679534
params,Hyena,0,7.99267679089804e+18,67650988.29183918
params,Hyena,1,1.9950615972947284e+19,109185209.4499218
params,Hyena,2,3.986470631277386e+19,173984177.0251506
params,Hyena,3,8.005126554787057e+19,206704548.3518071
params,StripedHyena,0,7.99267679089804e+18,63064311.84485077
params,StripedHyena,1,1.9950615972947284e+19,103090121.5323886
params,StripedHyena,2,3.986470631277386e+19,131385614.23873322
params,StripedHyena,3,8.005126554787057e+19,197672837.99837175
